train_mean,train_st_dev,train_max,train_min,train_loss,train_epsilon,test_mean,test_st_dev,test_max,test_min
1286.6,727.328793142,2100.0,371.0,0.0392328,0.1,1456.2,624.691091661,2100.0,435.0
1923.5,385.360415715,2100.0,787.0,0.03986,0.1,1408.1,549.473830132,2100.0,499.0
1638.33333333,666.781490112,2100.0,371.0,0.0372791,0.1,1696.4,563.520576377,2100.0,371.0
1062.72222222,588.813194821,2100.0,371.0,0.0367923,0.1,1453.1,721.095340437,2100.0,467.0
1303.53333333,600.370537437,2100.0,435.0,0.0365921,0.1,1491.5,692.409308141,2100.0,371.0
1666.18181818,583.120105854,2100.0,787.0,0.0393349,0.1,1813.3,509.432831686,2100.0,659.0
2100.0,0.0,2100.0,2100.0,0.0545522,0.1,2047.1,159.424245333,2100.0,1523.0
1638.33333333,673.023195902,2100.0,403.0,0.0603158,0.1,1680.45,625.86176389,2100.0,435.0
1695.27272727,605.012861007,2100.0,531.0,0.0436428,0.1,956.7,550.951549594,2100.0,371.0
1156.29411765,727.947377276,2100.0,371.0,0.0416063,0.1,1526.55,564.037363567,2100.0,595.0
1563.41666667,653.686145171,2100.0,531.0,0.0401427,0.1,948.75,563.767582874,2100.0,371.0
1444.69230769,697.305626031,2100.0,435.0,0.0382769,0.1,1448.25,675.419934189,2100.0,371.0
1646.25,598.085295617,2100.0,691.0,0.0420319,0.1,1461.1,678.348059627,2100.0,435.0
1498.84615385,686.745148806,2100.0,435.0,0.0374735,0.1,1557.05,612.21650378,2100.0,531.0
1349.71428571,711.760737143,2100.0,403.0,0.0377936,0.1,1658.0,624.022755995,2100.0,403.0
1637.0,597.431624083,2100.0,531.0,0.0366279,0.1,1834.05,495.894088995,2100.0,371.0
1785.54545455,619.19248933,2100.0,371.0,0.0567025,0.1,1182.45,700.920785467,2100.0,371.0
1297.26666667,688.227526977,2100.0,371.0,0.0684025,0.1,1760.45,487.168705378,2100.0,755.0
1571.41666667,572.594309311,2100.0,435.0,0.0400631,0.1,1819.75,513.79469392,2100.0,595.0
1331.42857143,692.001828475,2100.0,371.0,0.0400548,0.1,1587.5,630.245864723,2100.0,531.0
1105.27777778,540.058207311,2100.0,371.0,0.0445728,0.1,1294.6,683.450246909,2100.0,371.0
1313.07142857,640.634558664,2100.0,435.0,0.0455725,0.1,1518.75,657.248877899,2100.0,371.0
1657.0,641.237865382,2100.0,467.0,0.0401701,0.1,822.25,446.06982357,2100.0,371.0
1250.13333333,589.744788494,2100.0,435.0,0.043112,0.1,1392.3,746.965869368,2100.0,371.0
1427.38461538,636.331981384,2100.0,371.0,0.0475754,0.1,1925.35,379.308881388,2100.0,723.0
1018.27777778,567.615363267,2100.0,371.0,0.046767,0.1,1188.85,679.193659791,2100.0,371.0
1019.63157895,604.404727639,2100.0,371.0,0.051699,0.1,900.7,551.368125666,2100.0,371.0
1316.26666667,622.059104016,2100.0,371.0,0.0484602,0.1,1452.95,638.319471346,2100.0,435.0
1397.84615385,633.67813307,2100.0,531.0,0.0406804,0.1,955.05,452.773726601,2100.0,371.0
1544.91666667,670.10863029,2100.0,435.0,0.0475294,0.1,1192.1,690.532468462,2100.0,371.0
992.631578947,578.386522603,2100.0,371.0,0.0604717,0.1,1640.45,666.960679126,2100.0,499.0
1305.73333333,673.783196255,2100.0,435.0,0.0468943,0.1,785.5,506.777515287,2100.0,371.0
1098.33333333,668.070355576,2100.0,371.0,0.0513331,0.1,446.2,77.9086644732,659.0,371.0
848.227272727,556.232532459,2100.0,435.0,0.148084,0.1,1017.55,610.837169383,2100.0,371.0
919.714285714,514.635344118,2100.0,435.0,0.0511051,0.1,926.3,534.080527636,2100.0,371.0
1363.35714286,633.867224396,2100.0,371.0,0.0489939,0.1,1493.05,643.09707471,2100.0,371.0
1284.46666667,691.243793623,2100.0,435.0,0.0381429,0.1,947.05,482.884714502,2100.0,371.0
890.363636364,514.746587737,2100.0,371.0,0.0410264,0.1,1417.75,652.106423446,2100.0,435.0
1092.94444444,612.211970574,2100.0,371.0,0.0405758,0.1,1619.55,598.593223734,2100.0,595.0
1523.38461538,603.620045859,2100.0,371.0,0.0422741,0.1,1112.05,640.1677495,2100.0,371.0
1041.52631579,624.62429705,2100.0,435.0,0.0399152,0.1,756.6,437.180786403,1875.0,371.0
1171.23529412,678.434315986,2100.0,371.0,0.0368111,0.1,1188.9,657.349747091,2100.0,371.0
1664.91666667,632.277557503,2100.0,595.0,0.0373876,0.1,1007.85,564.141584622,2100.0,403.0
1417.46153846,587.917657158,2100.0,435.0,0.0377292,0.1,1512.3,678.370702492,2100.0,371.0
1271.46666667,665.03492306,2100.0,371.0,0.0405666,0.1,1438.75,758.499629202,2100.0,371.0
1069.94444444,677.839416596,2100.0,435.0,0.0428613,0.1,1502.6,609.844767133,2100.0,531.0
1390.71428571,578.23394037,2100.0,499.0,0.0380199,0.1,1075.15,574.487012473,2100.0,371.0
1048.26315789,609.405132041,2100.0,435.0,0.0387509,0.1,1374.5,641.639813291,2100.0,371.0
1525.84615385,613.771925337,2100.0,595.0,0.0403495,0.1,1230.45,657.249075694,2100.0,435.0
1324.93333333,650.157567227,2100.0,435.0,0.0423631,0.1,1308.95,640.520216309,2100.0,371.0
1100.11111111,659.99519265,2100.0,371.0,0.0402569,0.1,595.0,229.42013861,1363.0,371.0
1007.73684211,605.648833645,2100.0,371.0,0.0371714,0.1,852.65,545.193293704,2100.0,371.0
832.333333333,384.878624446,1907.0,403.0,0.0320181,0.1,748.65,411.784078735,2100.0,435.0
1252.4,746.087733894,2100.0,371.0,0.0351668,0.1,1094.35,626.444033813,2100.0,371.0
941.095238095,631.574593473,2100.0,371.0,0.0463717,0.1,1011.1,636.399945003,2100.0,371.0
915.095238095,498.616839702,2100.0,371.0,0.0438611,0.1,1377.8,727.401237282,2100.0,435.0
1048.26315789,609.758782514,2100.0,371.0,0.0370635,0.1,1016.0,647.674609661,2100.0,371.0
923.05,464.057806205,2100.0,371.0,0.0386768,0.1,807.95,577.691654345,2100.0,371.0
867.782608696,518.590225811,2100.0,371.0,0.0397222,0.1,966.35,653.74989675,2100.0,371.0
1100.05555556,596.903069762,2100.0,371.0,0.0379055,0.1,1579.6,671.464250724,2100.0,371.0
1504.66666667,534.949426478,2100.0,659.0,0.0340595,0.1,1124.85,651.357987208,2100.0,371.0
1657.18181818,507.167502935,2100.0,467.0,0.0385284,0.1,1688.4,581.493456541,2100.0,563.0
1143.25,632.517341659,2100.0,435.0,0.0462215,0.1,1144.05,694.550464329,2100.0,435.0
1324.5,677.308407279,2100.0,403.0,0.0534298,0.1,1246.55,699.850089305,2100.0,371.0
1247.3125,692.546543449,2100.0,435.0,0.044207,0.1,1339.4,739.249511329,2100.0,371.0
1124.05882353,555.127486215,2100.0,435.0,0.037562,0.1,942.2,392.215450996,1843.0,371.0
941.0,588.468795952,2100.0,371.0,0.0435788,0.1,551.8,198.367739313,1075.0,371.0
