best,average,worse
1.71751341149,0.701961283151,0.258038541762
1.72400332519,0.78056470348,0.255123434822
1.72400332519,0.802285732249,0.277014874074
1.76132852621,0.91556829949,0.310528474123
1.87052922117,0.963931417427,0.296521240841
1.87052922117,0.973614003321,0.385983676128
1.87052922117,1.00973327675,0.277285200703
1.88488340457,1.09661575514,0.328410233791
2.13538298834,1.17065317791,0.407430808488
2.13538298834,1.20707269714,0.43042031457
2.13538298834,1.21666128012,0.415826654542
2.13969888719,1.28390488509,0.397069435882
2.13969888719,1.33103151793,0.494049302884
2.13969888719,1.34597332576,0.528390757333
2.13969888719,1.37625208167,0.60705558679
2.13969888719,1.45648733361,0.670935034247
2.14146047538,1.51910980602,0.634227349717
2.14313472132,1.5879294026,0.683530701441
2.14313472132,1.6450467865,0.493292366813
2.14385910277,1.71523416822,0.706533606067
2.14385910277,1.77611920425,0.79428140214
2.14583519078,1.81242763512,0.875130900536
2.14583519078,1.84188471379,0.936245051712
2.14583519078,1.90289623345,0.809234256631
2.14586044799,1.93867522241,1.16313843083
2.14586127842,1.92142401734,0.843554100615
2.14988236558,1.94002232463,0.798338113973
2.14988236558,1.96199090494,0.812131110743
2.15037959445,1.96866506932,1.16357922747
2.15089632297,1.9699375758,1.16357922747
2.15244529337,1.98950725066,0.827490966338
2.15244529337,1.99507390684,0.825700858297
2.15483222587,1.97721946146,0.72008291512
2.15483222587,2.03963981258,0.821638155537
2.15483222587,2.04229983825,1.2003284471
2.15483222587,2.04569141399,1.16690977635
2.2201674064,2.05807558573,1.16690977635
2.2201674064,2.05318792276,1.19130757198
2.15483222587,2.06119560434,1.65243263248
2.15483222587,2.04623346902,1.64057274301
2.21298352554,2.0489166486,1.55780487703
2.15563591988,2.05415635851,1.63626457627
2.21023402126,2.05803438539,1.42177106328
2.2109766521,2.07184274988,1.66727425471
2.21115731727,2.08605301914,1.66727425471
2.21115731727,2.07624242274,1.65907334464
2.21115731727,2.08022835298,1.65754505595
2.21220366882,2.09073390018,1.75924223667
2.22253410812,2.09362263315,1.64133261048
2.22253410812,2.09265784214,1.7555188329
2.22253410812,2.09071572356,1.80201912378
2.22253410812,2.09263399935,1.60522663238
2.22202572948,2.10098712976,1.88034239509
2.22243647205,2.09113664955,1.7747788188
2.2252290041,2.09888896726,1.7747788188
2.2252290041,2.09444501632,1.76985859851
2.2252290041,2.07910691397,1.87204936104
2.2252290041,2.08541548562,1.86595710399
2.2252290041,2.07804304932,1.85943761403
2.22926196689,2.07705208895,1.75355564128
2.22926196689,2.06802294747,0.764837393801
2.22936226991,2.07314484343,1.86372282998
2.22926196689,2.07134389569,1.86372282998
2.22926196689,2.07074954518,1.84582453346
2.22926196689,2.06424672809,1.84437562114
2.23399257475,2.06963810166,1.86674094851
2.22926196689,2.06211007613,1.75237206105
2.22926196689,2.06977356875,1.86765016778
2.23375393923,2.075252596,1.85481505371
2.23375393923,2.07111342948,1.85401116319
2.22732825183,2.06754871769,1.75349674718
2.22993970281,2.07545674147,1.7902587025
2.22993970281,2.07776842957,1.733750649
2.22993970281,2.06853808373,1.68653397359
2.22993970281,2.06697678688,1.80906771975
2.22993970281,2.07504538512,1.7633165074
2.2310573193,2.08497673634,1.87266648884
2.23144848902,2.08254526936,1.88008467788
2.22733404054,2.0790501095,1.73934744158
2.22877293482,2.07450740504,1.73273286517
2.23141667345,2.08414163176,1.84217819111
2.23161405299,2.08238525451,1.74660721006
2.23161405299,2.08563885454,1.73997815034
2.23161405299,2.07383079166,1.72883301862
2.23161405299,2.08884710766,1.81175345754
2.23161405299,2.08856565951,1.76700222051
2.23161405299,2.09793249181,1.8621866201
2.23161405299,2.09168619122,1.88723210329
2.23207342878,2.08973010271,1.88406935853
2.2378686231,2.08787658735,1.88505904156
2.2378686231,2.08320369406,1.74598991608
2.2378686231,2.10019687178,1.78220920527
2.2378686231,2.0945515036,1.88831584493
2.2378686231,2.09619683218,1.53116247746
2.2378686231,2.09342903284,1.51503756157
2.2378686231,2.09873946784,1.77061900194
2.2378686231,2.08893267831,1.86576721269
2.2378686231,2.0871846189,1.87010908247
2.2378686231,2.0965903079,1.87477017306
2.2378686231,2.08571873716,1.757026239
2.2378686231,2.08627093918,1.6325928399
2.2378686231,2.07993539578,1.46341258182
2.2378686231,2.07938817756,1.62580943127
2.2378686231,2.08240856063,1.59653393359
2.2378686231,2.08815215256,1.60018611913
2.2371878649,2.09232721717,1.62932286544
2.23725159825,2.09603628018,1.74072179252
2.24436687252,2.09558871013,1.48478347176
2.24436687252,2.08592147829,1.48478347176
2.24552390938,2.092641011,1.63336595227
2.24827274895,2.08957956103,1.743061633
