best,average,worse
2.01480802485,1.03901386968,0.434169695928
2.01480802485,1.08501460048,0.434169695928
2.15997819532,1.21784234583,0.649052274368
2.15997819532,1.26607137477,0.390662249682
2.15997819532,1.32368746292,0.657937419094
2.15997819532,1.39434799815,0.683888821394
2.15997819532,1.43009580337,0.722544389271
2.19894476137,1.43333114627,0.568363823987
2.19894476137,1.52298759014,0.542399827745
2.24181993673,1.60285428749,0.609952645627
2.24309098991,1.63188963208,0.689522725342
2.24309098991,1.73848051018,0.669124140209
2.24309098991,1.8013308714,0.79004071764
2.24309098991,1.88876286555,0.782873959516
2.24309098991,1.85802047644,0.83516713849
2.24309098991,1.89582520285,0.827422160443
2.29148940203,1.90541031784,0.827422160443
2.29148940203,1.94982301609,1.37203823769
2.29148940203,1.96385673262,1.41737535656
2.29148940203,1.98662656945,0.9350011866
2.29207469499,2.01865120527,1.14463906389
2.29207469499,2.0019339361,0.883076144289
2.29207469499,2.04923869401,0.884502443306
2.29211531842,2.03102678172,0.884502443306
2.29211531842,2.04423787825,1.29667839472
2.29211531842,2.04852773789,1.29667839472
2.2928039371,2.03011051772,1.29667839472
2.2928039371,2.02107849898,1.29667839472
2.2928039371,2.03671878651,1.29667839472
2.29265089606,2.05083140066,1.29667839472
2.2928039371,2.09083438598,1.29740009813
2.2928039371,2.09151653485,1.29963966815
2.2928039371,2.11922110171,1.70338622258
2.2928039371,2.12406590024,1.55836901711
2.29404125342,2.14973828983,1.79611393108
2.29404125342,2.15099403041,1.70827365833
2.29404125342,2.15661126329,1.69573019942
2.29428318343,2.15672445076,1.69573019942
2.30027213194,2.19227083403,1.79851595893
2.30027213194,2.17936180511,1.79900629406
2.30027213194,2.19814489448,1.79900629406
2.30027213194,2.2056445266,1.90476239192
2.30027213194,2.18784875627,1.79254227355
2.30412179025,2.20012791873,1.79869484625
2.30799465187,2.22875687407,1.90496268658
2.30799465187,2.22450557336,1.90424331124
2.30799465187,2.22438422691,1.65321318679
2.31243090175,2.21263289725,1.65056399723
2.31385651982,2.23152984461,1.91614111251
2.31385651982,2.22327577401,1.80937313363
2.31385651982,2.2362269709,1.92855552998
2.31385651982,2.23068376855,1.92855552998
2.31410396096,2.21624106138,1.68954904427
2.31410396096,2.21088557089,1.91260107893
2.31410396096,2.19490633576,1.91058962177
2.31457119206,2.1788461608,1.81375006594
2.32205594307,2.17551434218,1.92058290474
2.32205594307,2.20448781654,1.92058290474
2.32205594307,2.21279431726,1.9207813059
2.32205594307,2.18323682017,1.38485730021
2.32205594307,2.19274025277,1.66667147265
2.32205594307,2.20798676158,1.82752967089
2.32205594307,2.22253512244,1.9278676217
2.32205594307,2.23389099279,1.92895776913
2.32205594307,2.23353568134,1.92895776913
2.3248318531,2.22906982696,1.92484059025
2.3248318531,2.24345972568,1.92832249472
2.3248318531,2.24703786426,1.87048765424
2.3248318531,2.24519262582,2.0452468589
2.39413015027,2.24936887094,1.871533534
2.39413015027,2.23491861514,1.87186591487
2.39413015027,2.2378486828,1.87186591487
2.39413015027,2.22605429675,1.70360450072
2.39413015027,2.23326899206,1.87186591487
2.39413015027,2.2320459175,1.88339338434
2.39413015027,2.23447105677,1.98862918765
2.39514028196,2.24120213161,1.98897694609
2.39514028196,2.23116171533,1.98897694609
2.39514028196,2.24394489487,1.97905523849
2.39514028196,2.22660417213,1.98782925099
2.39514028196,2.24189588246,2.06011286632
2.39514028196,2.23871352103,1.85692019108
2.39514028196,2.25773728871,1.9683036926
2.39551433454,2.25116003414,1.96854399674
2.39551433454,2.24772633799,1.9683036926
2.39551433454,2.24469305896,1.96768986098
2.39551433454,2.25381171713,1.86052497557
2.39551433454,2.24862166745,1.8612263307
2.39566520321,2.25160782575,2.07787724157
2.39566520321,2.24970127029,1.88170605965
2.39566520321,2.25530448269,1.98836726324
2.39614596605,2.25814728688,1.73268701656
2.39614596605,2.26951525432,1.7331088809
2.39614596605,2.29669081358,1.99966927704
2.39626237998,2.29989771646,1.99966927704
2.39626237998,2.30308438809,1.88714956189
2.39666850956,2.30398991635,1.88732676946
2.39666850956,2.30553745758,1.99859819977
