best,average,worse
2.11035509716,0.929278908318,0.353638484547
2.11035509716,1.02211754154,0.373639324578
2.19537180198,1.07550820581,0.398138710178
2.19537180198,1.10762995883,0.357255139891
2.19537180198,1.23899119384,0.428647369953
2.19537180198,1.21290946543,0.348545693011
2.19537180198,1.29964712719,0.421617919275
2.21140361191,1.41338884629,0.421523382125
2.21140361191,1.52121620101,0.458573072934
2.2138492762,1.59604412365,0.730019209755
2.2138492762,1.61862358954,0.667969266931
2.23489590721,1.70186977343,0.654926819821
2.23489590721,1.78560613758,0.569824717761
2.24688154084,1.82584705434,0.559824151731
2.24703414086,1.90262653089,0.760550933789
2.2749250756,1.9972959577,0.731530126436
2.27962831031,2.0156871468,0.909542498751
2.29966706359,2.05822149897,0.90616632757
2.30296499993,2.09861379122,0.998690462219
2.30417360971,2.13056897247,1.03886862279
2.30417360971,2.13239014348,1.03101967698
2.30417360971,2.13557332379,1.03001776013
2.30417360971,2.1619239302,0.990811626472
2.3095633908,2.16773433524,0.978845305305
2.3095633908,2.16299843209,1.10355401732
2.3095633908,2.15163738907,1.19026244713
2.3095633908,2.15592645131,1.31858865728
2.3095633908,2.1566533243,1.31896710586
2.30963864463,2.16173462822,1.352198183
2.32359230641,2.14840068791,1.352198183
2.32359230641,2.16578642228,1.3690961256
2.32359230641,2.17701373167,1.36244690591
2.31016560158,2.16972414587,1.35866171941
2.31405138968,2.1771020197,1.3540250352
2.31405138968,2.17767854694,1.36462228888
2.31405138968,2.18244112961,1.56260685731
2.31779363096,2.1891537207,1.34408885946
2.31779363096,2.17815107162,1.33961499113
2.31779363096,2.15602218397,1.35734847195
2.31779363096,2.17314279712,1.3772561918
2.31779363096,2.15924783978,1.32608698412
2.31779363096,2.15904544863,1.33187490567
2.31779363096,2.16514601161,1.36159648801
2.31779363096,2.18833026153,1.36159648801
2.31965740141,2.18228012949,1.35576444235
2.31965740141,2.19294495355,1.38671996255
2.31965740141,2.20149876256,1.38671996255
2.31965740141,2.21011903935,1.37138895146
2.31965740141,2.20100520381,1.80086697875
2.31965740141,2.19502892447,1.83817562203
2.31965740141,2.19832750538,1.77866071589
2.32557892454,2.17708658008,1.33633557864
2.33197449603,2.19384558273,1.78595938377
2.34092424249,2.19581587144,1.38074008868
2.34092424249,2.19018481729,1.38074008868
2.34092424249,2.18421726997,1.36258990794
2.34092424249,2.17563845988,1.33461772004
2.34092424249,2.20356545809,1.89770789915
2.34098582631,2.20455501894,1.94016525519
2.34098582631,2.18176232512,1.35396060736
2.34098582631,2.19833435104,1.35254512248
2.34281718962,2.1963610838,1.3558699088
2.34281718962,2.18249243358,1.35874124032
2.34281718962,2.20456683878,1.35328335667
2.34281718962,2.18887230687,1.35276631856
2.34283560161,2.19821044135,1.35979078229
2.34283560161,2.16029353035,1.35968913795
2.34330554678,2.18113475975,1.34397346305
2.34330554678,2.18902186464,1.34565492553
2.34330554678,2.1849245706,1.33722467946
2.34330554678,2.20180478132,1.34639090463
2.34330554678,2.19484969982,1.34565492553
2.34330554678,2.20568667714,1.34519142882
2.34330554678,2.19731599689,1.34519142882
2.35873377517,2.23346950575,1.34889305635
2.36167215254,2.23302466882,1.34818585519
