best,average,worse
2.06084977127,0.59094547819,0.0969427690444
2.16293601132,0.715150131041,0.0926692647709
2.16293601132,0.854990732181,0.236076625202
2.16293601132,0.958472911268,0.134039108874
2.16293601132,0.937356909125,0.138312613147
2.22807508131,0.982018153258,0.0
2.22807508131,1.17216871937,0.0
2.22807508131,1.20376756971,0.0
2.22807508131,1.17733762527,0.0
2.22807508131,1.37602710732,0.0
2.22807508131,1.49091288954,0.0
2.22976332893,1.70546617231,0.285199489123
2.23095061468,1.83645354415,0.291150218188
2.23095061468,1.92975371155,0.291150218188
2.23095061468,1.9649602142,0.472295362276
2.23234220083,2.01795500363,0.505177274732
2.23298694614,2.03066317569,0.566226122217
2.23298694614,2.05330563478,0.56083843695
2.28288978288,2.09180769566,0.666318145189
2.28570084255,2.12996856497,1.35214004602
2.28570084255,2.13619709254,0.68379465572
2.28570084255,2.1271308355,0.677026693311
2.28570084255,2.10391866536,0.627694947014
2.29201993295,2.14153954999,1.31816768791
2.29228411271,2.13789644276,1.18603370193
2.29201993295,2.13682694424,0.98359985447
2.29228411271,2.14152770163,0.817235086129
2.33977127549,2.16526812324,0.965064099948
2.34024317434,2.15192144464,0.767043983244
2.34024317434,2.16096093298,0.767043983244
2.34024317434,2.19239548925,1.34871860184
2.34859370427,2.19827077189,1.38229698091
2.34859370427,2.1982788912,1.35214004602
2.34859370427,2.20240296264,1.35214004602
2.34859370427,2.20211891049,1.34549600975
2.34909205792,2.19139814635,1.28789515607
2.35249373252,2.20510711371,0.733826963785
2.35249373252,2.21089075388,1.25681812752
2.35249373252,2.21078988803,1.79856248523
2.35249373252,2.21120609852,1.65815095286
2.35249373252,2.2055461883,1.38136318209
2.35249373252,2.20468115383,1.79916892707
2.35249373252,2.22113870464,1.26427668502
2.35249373252,2.21970222198,1.66203257049
2.35110316955,2.22446222477,1.67102231511
2.35110316955,2.22570632593,1.47723803538
2.35110316955,2.22272504996,1.60442620441
2.35279521833,2.22582365395,1.89679125451
2.35279521833,2.22232851228,1.78304380094
2.35303113691,2.23079758206,0.56516063168
2.35303113691,2.24888194785,1.66831998446
2.35279521833,2.25206268873,1.66780591251
2.35324154019,2.24868030852,1.81018232931
2.35470634918,2.26095529771,1.80911805973
2.35564563111,2.26020728217,1.63038930696
2.35564563111,2.2465757457,1.53202670401
2.35641989702,2.26926699869,2.10678590146
2.35650394872,2.26539924637,1.83776961726
2.4223293982,2.26241510919,1.66401263734
2.4223293982,2.2556385276,1.57351127367
2.4223293982,2.24283879287,1.57675776322
2.4223293982,2.23644852028,1.27445936652
2.4223293982,2.25011010675,1.61466482167
2.4223293982,2.24584420391,1.47459950801
2.4223293982,2.25264030373,1.44072972468
2.4223293982,2.26784484191,1.9868677438
2.42324670442,2.2700937111,2.01124236633
2.42324670442,2.27181076228,2.04599410214
2.42503706425,2.26169846295,0.0
2.4243146734,2.27529625225,1.97092260176
2.42577130202,2.27693502477,1.83046244573
2.42707021708,2.2811680771,2.0521421334
2.42707021708,2.27612808088,1.93316753459
2.42707021708,2.28985407553,1.77389383218
2.43034221239,2.29615602987,1.86941433863
2.43107994388,2.28891627257,1.65045314882
2.43107994388,2.28072521773,0.785264088004
2.43107994388,2.26493197558,0.86333916612
2.43113116451,2.26761887488,1.77756536892
2.43113116451,2.28864415583,1.80190279691
2.43107994388,2.2976943788,1.90298027845
2.43107994388,2.30285710892,1.96544448919
2.43107994388,2.29761365928,2.04624151061
2.43151565287,2.30659163679,2.04497787244
2.43176886996,2.31586834417,2.04391415713
2.43176886996,2.33007935905,1.94847203865
2.43217620934,2.32983321047,1.4599799479
2.43217620972,2.33783580238,1.634868626
